Plot ID,S. no,Species,Leaf wet mass,Above ground mass,Stem mass,Root mass,Stem length,Root length,Root % lost,Species ID,Comments 02,Comments 01
KDM37,S6(1),S6,1.03,4.05,0.89,3.46,17.8,24.2,,,"Galaxy J6: 20201126_150236, 20201126_150301, 20201126_150436",Unidentified. A portion of the root was lost while sampling.
KDM37,S6(2),S6,0.88,2.98,0.82,11.74,10.6,50,,,, A portion of the root was lost while sampling.
KDM38,S1,S1,0.37,4.32,2.19,1.63,29 + 12.2,15.8,,,"Galaxy J6: 20201126_194254, 20201126_194328, 20201126_194345",Unidentified. There are 2 branches of stems.
KDM38,S2,S2,0.38,1.17,0.42,0.58,13.6,13.6,,,"Galaxy J6: 20201126_194451, 20201126_194519, 20201126_194541",
KDM44,S1(1),S1,0.36,7.57,4.42,1.66,26 + 20 + 20.4 + 10.4,16.5,,,"Galaxy J6: 20201121_113004, 20201121_113044, 20201121_113101",Unidentified. Stem is branched.
KDM44,S1(2),S1,0.15,0.56,0.17,0.1,11.5,6.5,,,,Root is damaged.
KDM44,S1(3),S1,0.08,0.26,0.13,0.05,10.4,5.2,,,,
KDM44,S1(4),S1,0.08,0.43,0.15,0.05,10.8,5.2,,,,
KDM44,S2,S2,0.23,1.23,0.46,0.69,14.2,14,,Symplocos,"Galaxy J6: 20201126_201448, 20201126_201503, 20201121_201538",Simplocos sp. A small portion of the root was lost while sampling.
KDM44,S3,S3,0.43,2.59,1.39,3.91,16,19.2,,,"Galaxy J6: 20201126_214157, 20201126_214225, 20201121_214237",Unidentified. Almost half of the root was lost while sampling.
KDM44,S4,S4,0.9,2.3,0.5,0.26,16,2.6,,,"Galaxy J6: 20201126_214317, 20201126_214327, 20201121_214345",Unidentified. A major portion of the root was lost while sampling.
KDM44,S5,S5,0.53,2.04,0.82,0.44,18.8,2.5,,,"Galaxy J6: 20201126_214402, 20201126_214422, 20201121_214433",Unidentified. A major portion of the root was lost while sampling. Alive stem was attached to a dead stem.
KDM44,S6,S6,0.92,3.28,0.89,0.56,19.6,19.6,,,"Galaxy J6: 20201126_214508, 20201126_214522, 20201121_214532",Unidentified. 
KDM45,S1,S1,0.16,2.57,1.17,0.88,20 + 19.2,17.4,,Syz,"Galaxy J6: 20201126_223728, 20201126_223832, 20201126_223912",Syzygium sp. There are 2 branches in stem.
KDM45,S2(1),S2,0.74,3.29,1.2,1.65,19.2,15.4,,SymRac,,Simplocos sp. A portion of the root was lost while smapling.
KDM45,S2(2),S2,0.46,2.48,0.55,2.05,15.4,19.6,,SymRac,,A portion of the root was lost while smapling.
KDM45,S3,S3,0.15,0.66,0.21,0.19,13.8,11.2,,PsyMac,,Psychotria macrocarpa
KDM45,S4,S4,0.55,2.35,1.11,0.25,20.4,9.2,,,"Galaxy J6: 20201127_195245, 20201127_195325, 20201127_195340",
KDM45,S5,S5,0.55,6.56,4.39,15.91,24,39.4,,,"Galaxy J6: 20201127_195358, 20201127_195454, 20201127_195506",
KT1,S1,S1,0.93,4.25,1.25,4.1,33.2,18,,PsyNig,,
KT1,S2,S2,0.27,4.69,3.51,2.43,51.5,18,,Syz,"Galaxy J6: 20201127_214258, 20201127_214336, 20201127_214346",Syzygium sp.
KT1,S3,S3,0.95,5.08,0.94,1.65,17,18.8,,,"Galaxy J6: 20201127_214401, 20201127_214411, 20201127_214428",Unidentified. A small portion of the root was lost while sampling.
KT1,S4(1),S4,0.56,1.98,0.7,0.55,12,14.4,,,"Galaxy J6: 20201127_214459, 20201127_214506, 20201127_214523",Unidentified.
KT1,S4(2),S4,0.22,0.77,0.38,0.41,12.2,12.6,,,,
KT1,S4(3),S4,0.12,0.5,0.2,0.16,11.8,9,,,,
KT1,S4(4),S4,0.34,1.07,0.48,0.36,11,10.5,,,,
KT1,S4(5),S4,0.3,0.93,0.32,0.24,12.4,9.6,,,,
KT3,S1,S1,0.18,1.33,0.73,0.93,14.6,14.5 + 1.2,,SymRac,,Symplocos sp. Tip of the stem broke off while analysing. Only one complete leaf is available.
KT2,S1,S1,0.23,1.5,0.79,0.28,11,8.8,,PsyNig,"Galaxy J6: 20201128_083338, 20201128_083353, 20201127_083416",Psychotria sp.
KT2,S2,S2,0.95,2.77,1.09,0.96,24.2,15,,,"Galaxy J6: 20201128_083428, 20201128_083449, 20201127_083502",Unidentified
KT4,S1(1),S1,0.26,1.19,0.7,0.57,21,11,,Cin,,Cinnamomum verum
KT4,S1(2),S1,0.46,2.77,1.48,0.56,31.5,10.6,,Cin,,
KT4,S2,S2,0.57,3.41,0.76,1.72,18.6,18.4,,,"Galaxy J6: 20201128_100143, 20201128_100425, 20201127_100434",Unidentified.
KT4,S3,S3,0.69,2.26,0.71,0.41,19.6,7.6,,,"Galaxy J6: 20201128_100452, 20201128_100500, 20201127_100507",Unidentified. A short portion of the root was lost while sampling.
KT4,S4,S4,0.23,1.22,0.45,0.58,20.4,20.8,,,"Galaxy J6: 20201128_100522, 20201128_100550, 20201127_100604",Unidentified.
KT5,S1,S1,0.18,1.34,0.61,0.15,11.5,8.2,,PsyNig,,Psychotria nigra
KT5,S2,S2,0.81,6.87,4.61,6.11,44.6,34,,GarMor,"Galaxy J6: 20201130_121609, 20201130_121731, 20201130_121746",Unidentified. Sap yellowish.
KT6,S1(1),S1,0.88,5.28,1.65,4.35,26.5,32.6,,GarMor,"Galaxy J6: 20201130_125132, 20201130_125212, 20201130_125234",Unidentified. A small portion of the root was lost while sampling.
KT6,S1(2),S1,0.38,1.55,0.49,1.39,13.4,17.5,,GarMor,,A small portion of the root was lost while sampling.
KT6,S2(1),S2,0.74,3.53,1.28,2.16,15.5,10.5,,Symplocos,"Galaxy J6: 20201130_125310, 20201130_125333, 20201130_125402",Simplocos sp
KT6,S2(2),S2,0.73,3.17,1.43,1.81,24.4,19.5,,Symplocos,,
KT6,S2(3),S2,0.11,1.74,1.26,2.98,12.2,14.8,,Symplocos,,Almost half of the root was lost while sampling.
KT6,S3,S3,0.12,0.51,0.26,0.06,19.8,8.6,,Syz,"Galaxy J6: 20201130_125614, 20201130_125639, 20201130_125654",Syzygium sp. Apical tip of the stem broke off during analysis.
KT6,S4,S4,0.09,0.81,0.49,0.54,13.4,12,,,"Galaxy J6: 20201130_125726, 20201130_125752, 20201130_125802",Unidentified.
KT6,S5(1),S5,0.23,0.87,0.41,0.76,12.4,16.2,,I,"Galaxy J6: 20201130_125828, 20201130_125839, 20201130_125849",Unidentified.
KT6,S5(2),S5,0.24,0.82,0.32,0.31,13.4,12.2,,I,,
KT6,S5(3),S5,0.16,0.5,0.21,0.15,12.5,9.2,,I,,
KT6,S6(1),S6,0.15,1.17,0.49,1.04,20.4,14.8,,J,"Galaxy J6: 20201130_125923, 20201130_125949, 20201130_130015",Unidentified.
KT6,S6(2),S6,0.22,1.94,0.95,0.56,27,13.6,,J,,
KT6,S7,S7,0.59,2.02,0.9,0.11,22.5,3.4,,,"Galaxy J6: 20201130_130035, 20201130_130050, 20201130_130058",Unidentified. A major part of the root was lost while sampling.
KT7,S1,S1,0.96,10.68,4.87,2.11,31+30.3,10,,,"Honor 9 Lite: 20201130_164806, 20201130_170109, 20201130_170130",Unidentified
KT7,S2,S2,1.44,6.5,2.99,2.19,33.3,19.4,,,"Honor 9 Lite: 20201130_171149, 20201130_171948, 20201130_172000",Unidentified
KT7,S3,S3,0.25,4.29,3.61,4.7,27,18.2,,,"Honor 9 Lite: 20201130_172820, 20201130_173537, 20201130_173557",Unidentified
KT8,S1,S1,0.45,2.86,0.9,1.36,19 + 9,18.5,,,"Galaxy J6: 20201202_115915, 20201202_115929, 20201202_115954",Unidentified. Branched stem.
KT8,S2(1),S2,0.27,1.68,0.44,0.3,18.2,11.4,,,"Galaxy J6: 20201202_120022, 20201202_120036, 20201202_120056",Unidentified.
KT8,S2(2),S2,0.27,1.71,1.01,0.67,24.8,20,,,,
KT8,S3,S3,0.6,4.8,2.25,6.24,46.4,30.2,,,"Galaxy J6: 20201202_120109, 20201202_120123, 20201202_120144",Unidentified.  A samll portion of the rootwas lost while samping.
KT8,S4,S4,13,0.79,0.56,0.32,15.4,14.8,,,"Galaxy J6: 20201202_120206, 20201202_120218, 20201202_120228",Unidentified.
KT9,S1(1),S1,0.24,1.29,0.52,0.15,9.6,6.8,,PsyNig,,Psychotria nigra
KT9,S1(2),S1,0.15,1.12,0.51,0.13,10.6,5 + 4.4,,PsyNig,,
KT9,S2,S2,0.05,1.42,0.62,1.2,16.4 + 18.8 + 8.4,19.8,,,"Galaxy J6: 20201130_190736, 20201130_190839, 20201130_190902",Unidentified
KT9,S3,S3,0.34,1.63,0.79,0.51,18.6,9,,,"Galaxy J6: 20201130_192737, 20201130_192757, 20201130_192838",Unidentified
KT9,S4(1),S4,0.22,0.93,0.35,0.17,13,8.2,,,"Galaxy J6: 20201130_203858, 20201130_203926, 20201130_203944",Unidentified
KT9,S4(2),S4,0.41,1.22,0.46,0.17,15.6,7.6,,,,
KT9,S4(3),S4,0.12,0.62,0.3,0.1,13.5,6.5,,,,
KT9,S4(4),S4,0.14,0.61,0.29,0.15,10.5,7,,,,
KT9,S4(5),S4,0.18,0.49,0.25,0.16,10.5,6.5,,,,
KT9,S4(6),S4,0.27,0.79,0.32,0.26,11.5,8.8,,,,
KT9,S5,S5,0.29,2.88,2.48,1.65,27,20.8,,,"Galaxy J6: 20201130_204233, 20201130_204301, 20201130_204316",Unidentified
KT10,S1(1),S1,1.45,7.92,2.93,1.87,23.4,23.2,,,"Galaxy J6: 20201202_103227, 20201202_103303, 20201202_103312",Unidentified
KT10,S1(2),S1,0.95,4.37,1.22,0.49,15,8.8,,,,
KT10,S1(3),S1,0.51,2.34,0.75,0.12,13.4,3.4,,,,
KT10,S2(1),S2,0.99,2.56,1.3,1.48,21.4,11.8,,,"Galaxy J6: 20201202_103341, 20201202_103352, 20201202_103400",Unidentified. Nearly half of the root was lost while sampling.
KT10,S2(2),S2,0.15,0.59,0.31,0.12,15.2,4,,,,A major portion of the root was lost while sampling.
KT10,S3(1),S3,0.19,0.54,0.11,0.13,7,6.6,,,"Galaxy J6: 20201202_103427, 20201202_103434, 20201202_103445", A small portion of the root was lost while sampling.
KT10,S3(2),S3,0.12,0.49,0.11,0.08,7.4,5.8,,,,
KT10,S4,S4,0.13,0.61,0.28,0.21,16.2,8.2,,,"Galaxy J6: 20201202_103548, 20201202_103603, 20201202_103611",Unidentified. A small portion of the root was lost while sampling.
KT11,S1,S1,0.79,11.32,5.22,NA,36.4,NA,,,"Galaxy J6: 20201202_130237, 20201202_130251, 20201202_130305",Unidentified. Root was lost while sampling.
KT11,S2(1),S2,0.41,2.1,0.72,1.84,14.2,21,,,"Galaxy J6: 20201202_130322, 20201202_130332, 20201202_130348",Unidentified.
KT11,S2(2),S2,0.42,0.76,0.34,1.35,17.5,28.6,,,,
KT11,S3(1),S3,0.58,1.84,0.47,0.46,13.8,10.6,,,"Galaxy J6: 20201202_130409, 20201202_130426, 20201202_130444",Unidentified. A small portion of the root was lost while sampling.
KT11,S3(2),S3,0.22,0.49,0.2,0.18,13.2,10.6,,,,
KT11,S4,S4,0.27,0.91,0.34,0.24,15,11.5,,Cin,,Cinnamum
KT11,S5,S5,0.67,5.38,2.27,3.6,22.8 + 12,22.5 + 16.2,,,"Galaxy J6: 20201202_130507, 20201202_130518, 20201202_130529",Unidentified. Both stem and root are branched.
KT11,S6(1),S6,0.64,1.85,0.62,0.48,15,10.6,,,"Galaxy J6: 20201202_130556, 20201202_130610, 20201202_130620",Unidentified.
KT11,S6(2),S6,0.42,2.15,0.66,0.42,15,11.4,,,,
KT11,S6(3),S6,0.59,1.11,0.38,0.45,16,9.4,,,,A small portion of the root was lost while sampling.
KT11,S7,S7,0.85,5.09,2.34,1.35,28.4,22.6,,,"Galaxy J6: 20201202_130635, 20201202_130700, 20201202_130718",Unidentified.
KT12,S1,S1,0.05,0.24,0.08,0.08,11.6,10.6,,Syz,Galaxy J6: 20201202_181413,syzygium sp.
KT12,S2,S2,0.12,0.82,0.33,0.27,13.8,10.2,,,"Galaxy J6: 20201202_181457, 20201202_181507, 20201202_181522",Unidentified.
KT12,S3(1),S3,0.92,3.82,1.6,0.39,19,9.4,,,"Galaxy J6: 20201202_181543, 20201202_181554, 20201202_181652",Unidentified.
KT12,S3(2),S3,0.75,3.48,1.27,0.38,19.6,11,,,,
KT12,S3(3),S3,0.67,7.1,5.14,0.42 + .88,43.6 + 20,13.8 + 7 + 9,,,,Stem and root have multiple branches.
KT12,S3(4),S3,0.33,1.94,0.83,0.18,13.2,4.2,,,,
KT12,S3(5),S3,1.13,4.48,2.19,5.15,21.4,27.6 + 11.8,,,,All the leaves have undergone herbivory. Root has 2 branches.
KT13,S1(1),S1,0.92,3.52,1.34,1.58,24.2 + 8.8,10.8,,,"Galaxy J6: 20201202_193357, 20201202_193425, 20201202_193435",Unidentified. Branched stem. Major portion of the root was lost whilw sampling.
KT13,S1(2),S1,0.37,1.36,0.5,0.56,16.2,11,,,,
KT13,S1(3),S1,0.24,1.54,0.48,0.89,17.5,17.8,,,,
KT13,S2,S2,0.78,7.75,3.93,3.23,39,20.4,,,"Galaxy J6: 20201202_193458, 20201202_193515, 20201202_193531",Unidentified. Over half of the root was lost while sampling.
KT13,S3(1),S3,0.28,2.67,2.14,2.95,29.6,15.6,,,"Galaxy J6: 20201202_193544, 20201202_193601, 20201202_193647",Unidentified. Nearly half of the root was lost while sampling. Most leaves have undergone herbivory.
KT13,S3(2),S3,0.14,1.06,0.87,0.9,19.2,13.6,,,,All leaves have undergone herbivory. So only one leaf was scanned.
KT13,S4,S4,0.85,3,1.02,1.11,20.6,11.8,,,"Galaxy J6: 20201202_193700, 20201202_193708, 20201202_193720",Unidentified. A small portion of the root was lost while sampling.
KT13,S5,S5,0.66,4.11,2.26,1,26,8.8,,,"Galaxy J6: 20201202_193735, 20201202_193750, 20201202_193801",Unidentified. A small portion of the root was lost while sampling.
KT13,S6,S6,0.22,2.56,2.13,1.58,18.4,18.4,,,Galaxy J6: 20201202_193829,Unidentified. A very small portion of the root was lost while sampling.
KT13,S7(1),S7,0.21,0.78,0.28,0.11,17.4,4.2,,,"Galaxy J6: 20201202_193907, 20201202_193922, 20201202_193935",Unidentified. Most part of the root was lost while sampling.
KT13,S7(2),S7,0.08,0.98,0.74,0.5,21.4,9.6,,,,Most leaves have undergone herbivory.
KT13,S8(1),S8,0.18,0.95,0.58,0.46,23.4,12.4,,,"Galaxy J6: 20201202_194012, 20201202_194024, 20201202_194043",Unidentified. Only 2 leaves available. One diseased.
KT13,S8(2),S8,0.09,0.3,0.17,0.14,18.2,10.8,,,,
KT14,S1(1),S1,1.43,5.68,1.67,0.62,17.5,9.2+8.9,,PsyNig,,P. nigra
KT14,S2(1),S2,NA,5.03,2.35,4.14,21.6,21.2+9.3,,,"20201203_215353, 20201203_215210, 20201203_215008",unidentified. Diseases and herbivored heavily. No leaf scanned
KT14,S3,S3,1.81,7.22,2.42,1.42,19.2,11 + 13,,,"G J6: 20201204_173016, 20201204_173023, 20201204_173038",unidentified. Branched roots.
KT14,S4(1),S4,0.25,1.03,0.51,0.24,24.2,9.8,,,"G J6: 20201204_173110, 20201204_173122, 20201204_173146",unidentified.
KT14,S4(2),S4,0.3,0.85,0.36,0.29,17.2,14.5,,,,
KT14,S5,S5,0.28,0.91,0.29,0.21,12.2,7.8,,,"G J6: 20201204_173155, 20201204_173213, 20201204_174045",unidentified.
KT14,S6,S6,0.21,0.87,0.28,0.18,11.8,6.4,,,"G J6: 20201204_173227, 20201204_173254, 20201204_173304",unidentified. A samll portion of the root was lost while sampling.
KT14,S7,S7,0.26,0.82,0.34,0.2,13.4,12.2,,,"G J6: 20201204_173318, 20201204_173341, 20201204_173357",unidentified.
KT15,S1(1),S1,1.48,8.56,1.94,3.08,20.4,13.4,,,"G J6 : 20201204_084322, 20201204_084418, 20201204_084441",Unidentified. Nearly half of the root was lost while sampling.
KT15,S1(2),S1,2.1,13.88,3.13,2.67,21.6,17.6,,,,
KT15,S1(3),S1,1.88,5.87,1.94,1.88,15.4,24.4,,,,Herbivored.
KT15,S1(4),S1,0.86,5.11,1.43,0.56,16.8,13,,,,
KT15,S2,S2,1.56,7.95,3.09,3.91,37,25.6,,,"G J6 : 20201204_092320, 20201204_092352, 20201204_092413",Unidentified. 
KT15,S3,S3,0.19,0.66,0.29,0.3,11,12.2,,,"G J6 : 20201204_092426, 20201204_092438, 20201204_092459",Unidentified. 
KT15,S4,S4,0.55,1.71,0.91,0.85,14.2,16,,,"G J6 : 20201204_092517, 20201204_092533, 20201204_092542",Unidentified. A samll portion of the root was lost while sampling.
KT15,S5,S5,0.39,1.43,0.66,0.66,9.2,15.2,,,"G J6 : 20201204_092552, 20201204_092600, 20201204_092607",Unidentified. 
KT15,S6,S6,1.79,7.91,2.13,2.19,26,17.8,,,"G J6 : 20201204_092626, 20201204_092659, 20201204_092719",Unidentified. Nearly half of the root was lost while sampling.
KT16,S1(1),S1,1.58,5.13,1.94,0.87,26.8,12.5,,,"G J6: 20201204_190454, 20201204_190507, 20201204_190515",Unidentified. A small portion of root was lost while sampling.
KT16,S2(1),S2,0.51,3.08,0.95,1.91,10.2,23.2,,,"G J6: 20201204_190532, 20201204_190540, 20201204_190548",Unidentified.
KT16,S2(2),S2,0.49,2.07,0.59,0.79,10.8,14.6 + 2.8,,,,Branched roots.
KT16,S3,S3,0.32,3.09,2.21,1.89,20 +16.2 + 9.6,9 + 3.8,,,"G J6: 20201204_190603, 20201204_190614, 20201204_190623",Unidentified. Stem and root branched. A large portion of root was lost while sampling.
KT16,S4,S4,0.56,1.65,0.82,0.54,13.2,7,,,"G J6: 20201204_190632, 20201204_190640, 20201204_190654",Unidentified. A small portion of root was lost while sampling.
KT16,S5,S5,0.39,0.89,0.49,0.53,12,5.2 + 3 + 2 + 2,,,"G J6: 20201204_190706, 20201204_190714, 20201204_190730",Unidentified. Only one complete leaf is available
KT17,S1,S1,1.07,4.24,2.53,2.99,24.2,19.3,,,"honor 9 lite: 20201204_202555, 20201204_2013146, 20201204_2013154",Unidentified.
KT18,S1,S1,1.57,10.35,4.23,1.32,30,10.7,,PsyNig,,Psychotria
KT18,S2,S2,0.1,3.66,3.59,2.6,29.8+11.5,21.3,,,"honor 9 lite: 20201204_205200, 20201204_205756, 20201204_205818",Unidentified
KT18,S3,S3,0.36,1.84,1.21,1.7,13.4,12.1+6.2,,PsyNig,,Psychotria. Branched roots
KT19,S1,S1,2.24,14.88,6.9,2.49,40.2,19.4,,,"honor: 20201204_211334, 20201204_211805, 20201204_211816",Unidentified. Serrated leaves.
KT19,S2,S2,0.72,4.82,3.15,4.86,25.2,22.6,,GarMor,,Garcinia morella
KT19,S3,S3,0.27,1.81,0.44,1.24,9.4,11.3,,,"honor: 20201204_214658, 20201204_214950, 20201204_214958",Unidentified. 
KT20,S1,S1,0.67,1.51,0.84,1.09,20.3,23.7,,,"Realme1: 20201205111121, 20201205111112","alternate,White sap, crenate, appressed veins, 8-11 pairs of secondary veins"
KT20,S2,S2,0.2,1.57,0.68,1.63,16.3,16.6,,DioPru,"honor 9 lite: 20201205_130006, 20201205_131436, 20201205_131448",Possibly Diospyros pruriens (Ebenaceae) pubescent leaves and stem. Alternate
KT21,S1,S1,0.79,2.26,0.65,0.71,21.3,20.4,,,"honor 9 lite: 20201205_132744, 20201205_133258, 20201205_133320",Unidentified.
KT21,S2,S2,0.32,1.06,0.47,0.42,19.2,16.5,,,,
KT27,S1,S1,1,10.99,4.37,5.25,32.2 + 14.5,24.2,,,"Galaxy J6: 20201205_192238, 20201205_192248, 20201205_192311",Unidentified. A small portion of the root was lost while sampling.
KT27,S2,S2,0.77,2.58,1.04,0.66,32.4,14.6,,,"Galaxy J6: 20201205_192330, 20201205_192412, 20201205_192419",Unidentified.
KT27,S3,S3,0.25,0.43,0.17,0.13,12.6,10.6,,,"Galaxy J6: 20201205_192430, 20201205_192437, 20201205_192445",Unidentified.
KT27,S4,S4,0.24,0.75,0.45,0.12,15.4,3.8,,,"Galaxy J6: 20201205_192459, 20201205_192506, 20201205_192514",Unidentified.
KT26,S1,S1,0.25,2.44,0.79,0.79,14.6,11.8,,SymRac,"Galaxy J6: 20201206_075742, 20201206_075806, 20201205_075812",Unidentified. Symplocose sp?
KT26,S2,S2,0.37,2.03,1.09,0.73,20.6,10.8,,,"Galaxy J6: 20201206_075832, 20201206_075840, 20201205_075848",Unidentified.
KT26,S3,S3,0.43,2.45,0.85,0.75,24.4,14,,,"Galaxy J6: 20201206_075914, 20201206_075923, 20201205_080004",Unidentified.
KT26,S4,S4,0.89,9.41,5.54,10.27,35.5,37.8,,,"Galaxy J6: 20201206_080027, 20201206_080038, 20201205_080054",Unidentified.
KT25,S1,S1,0.43,1.14,0.32,0.34,11.6,16.5,,,"Galaxy J6: 20201206_095011, 20201206_095021, 20201205_095029",Unidentified.
KT25,S2,S2,0.59,2.88,1.5,0.41,27,20.6,,,"Galaxy J6: 20201206_095138, 20201206_095152, 20201205_095213",Unidentified.
KT22,S1,S1,0.87,3.03,1.42,1.54,17.8,22,,,"Galaxy J6: 20201206_101501, 20201206_101512, 20201205_101522",Unidentified. Herbivored leaves.
KT22,S2,S2,2.26,11.82,3.86,2.75,26.2,11.6 + 10 + 8.6,,,"Galaxy J6: 20201206_101539, 20201206_101606, 20201205_101625",Unidentified. Herbivored leaves. Branched roots.
KT22,S3,S3,0.09,0.8,0.6,0.28,23,9.2,,,"Galaxy J6: 20201206_101642, 20201206_101650, 20201205_101700",Unidentified. Herbivored and diseased leaves. Only 1 leaf scanned.
KT23,S1,S1,1.25,6.25,2.21,1.01,33.5,11.8,,,"Galaxy J6: 20201206_101758, 20201206_101818, 20201205_101827",Unidentified. A small portion of the root was lost while sampling.
KT23,S2,S2,0.81,2.57,1.01,0.8,18.8,12.4,,,"Galaxy J6: 20201206_101841, 20201206_101848, 20201205_101900",Unidentified. A small portion of the root was lost while sampling.
KT24,S1,S1,1.86,7.06,3.67,3.31,38.4,21 + 6,,,"Galaxy J6: 20201206_101917, 20201206_101935, 20201205_101947",Unidentified. Most leaves are herbivored. Branched roots. A small portion of the root was lost while sampling.
KT28,S1,S1,0.8,7.46,2.89,5.74,25.2,21.8 + 12.4 +16,,,"Galaxy J6: 20201206_101917, 20201206_101935, 20201205_101947",Unidentified.
KT29,S1,S1,1.15,2.38,0.71,2.57,14,31.2,,,"Galaxy J6: 20201206_101917, 20201206_101935, 20201205_101947",Unidentified. Compound leaves. None were complete.
KT30,S1,S1,0.62,2.64,1.01,0.77,19.2,14,,,"Galaxy J6: 20201206_101917, 20201206_101935, 20201205_101947",Unidentified.
KT30,S2,S2,0.42,1.84,1,1.24,23,15,,,"Galaxy J6: 20201206_101917, 20201206_101935, 20201205_101947",Unidentified.
KT31,S1,S1,1.55,5.3,2.29,0.92,24.4,14.8 + 13.8,,,"Galaxy J6: 20201208_193517, 20201208_193533, 20201208_193544",Unidentified. Branched roots.
KT31,S2(1),S2,0.27,3.17,2.11,0.68,28.2,11.2,,,"Galaxy J6: 20201208_193615, 20201208_193720, 20201208_193738",Unidentified. A very small portion of the root was lost while sampling.
KT31,S2(2),S2,0.11,0.62,0.13,0.17,9,12.6,,,,
KT31,S3,S3,0.49,2.25,1.16,1.67,23.2,16.6,,,"Galaxy J6: 20201208_193800, 20201208_193827, 20201208_193838",Unidentified.
KT31,S4(1),S4,0.54,3.64,1.68,1.97,18,14.8,,,"Galaxy J6: 20201208_193853, 20201208_193926, 20201208_193940",Unidentified. A small portion of the root was lost while sampling.
KT31,S4(2),S4,0.68,2.67,0.68,2.56,11,21.4,,,,A very small portion of the root was lost while sampling.
KT32,S1,S1,0.22,0.84,0.29,0.3,10.5,12.6,,,"Galaxy J6: 20201208_204123, 20201208_204145, 20201208_204155",Unidentified.
KT32,S2(1),S2,0.34,1.54,0.49,1.07,18.2,7.8 + 10.2,,,"Galaxy J6: 20201208_204218, 20201208_204231, 20201208_204240",Unidentified. Root was broken while smapling.
KT32,S2(2),S2,0.17,0.74,0.28,0.43,13.2,14.6,,,,A very small portion of the root was lost while sampling
KT33,S1,S1,0.67,2.27,0.66,0.63,16,5.8,,,"Galaxy J6: 20201210_112747, 20201210_112806, 20201208_112819",Unidentified. Major portion of the root was lost while sampling.
KT33,S2,S2,0.37,3.13,2.08,1.25,34,8.6 + 4. 8,,,"Galaxy J6: 20201210_112839, 20201210_112901, 20201208_112914",Unidentified. Root was broken and a small portion of it was lost while sampling.
KT33,S3,S3,0.36,2.19,0.99,0.43,19.2,13.6,,GarMor,"Galaxy J6: 20201210_112924, 20201210_112956, 20201208_113011",Unidentified. Garcinia sp?
KT33,S4,S4,0.53,2.71,1.14,0.78,20,10.2,,,"Galaxy J6: 20201210_114752, 20201210_114758, 20201208_114811",Unidentified.
KT33,S5,S5,0.15,1.65,1,0.71,19.8,11.2,,,"Galaxy J6: 20201210_114837, 20201210_114852, 20201208_114903",Unidentified.
KT33,S6,S6,0.94,7.01,2.09,8.62,22.6,37.6,,GarMor,"Galaxy J6: 20201210_115416, 20201210_115517, 20201208_115529",Unidentified. Garcinia sp? A small portion of the root was lost while sampling.
KT34,S1,S1,0.31,1.68,0.42,0.73,15,14.2,,,"Galaxy J6: 20201210_132555, 20201210_132617, 20201208_132626",Unidentified. A small portion of the root was lost  while sampling.
KT34,S2,S2,0.9,5.64,2.55,2.99,25.6,16.5,,,"Galaxy J6: 20201210_132638, 20201210_132647, 20201208_132653",Unidentified. Nearly half of the root was lost while sampling. One leaf scanned. Rest were severely herbivored.
KT36,S1,S1,0.83,3.76,0.88,6.06,15,36,,GarMor,"Galaxy J6: 20201210_132718, 20201210_132732, 20201208_132744",Unidentified. Garcinia sp? A small portion of the root was lost while sampling.
KT36,S2,S2,1.19,7.39,3.69,6.1,31.4,23.8,,GarMor,"Galaxy J6: 20201210_132810, 20201210_132825, 20201208_132833",Unidentified. Garcinia sp? A small portion of the root was lost while sampling. 1 scanned leaf slightly herbivored.
KT35,S1(1),S1,0.48,1.79,0.87,0.13,14,5.4,,PsyNig,"Galaxy J6: 20201210_205715, 20201210_205731, 20201208_205742",Psychotria nigra?
KT35,S1(2),S1,0.52,1.96,0.72,0.18,11,8.6,,PsyNig,,
KT35,S2,S2,1.22,3.97,1.51,1.56,21.4,11.5,,ClaDen,"Galaxy J6: 20201210_205826, 20201210_205833, 20201208_205842",Curry leaf like. Nearly half of the root was lost while sampling.
KT35,S3(1),S3,1.26,11.42,6.94,9.17,17 + 17.4 + 9,36,,GarMor,"Galaxy J6: 20201210_205909, 20201210_205939, 20201208_205955",Garcinia sp. Stem branched. A small portion of the root was lost while sampling.
KT35,S3(2),S3,1.2,6.93,2.88,4.86,22 + 9.2 + 11.2,27.8,,,,A very small portion of the root was lost while sampling.
KT37,S1,S1,0.22,1.13,0.32,1.54,10,9 + 5.8,,,"Galaxy J6: 20201210_223042, 20201210_223052, 20201208_223100",Unidentified. Broken root. Nearly half was lost while sampling. 1 scanned leaf All leaves herbivored.
KT37,S2,S2,1.15,3.67,0.97,10.22,16.6,7 + 29.5 + 9.2,,,"Galaxy J6: 20201210_223121, 20201210_223131, 20201208_223150",Unidentified. Broken root. A very small portion of the root was lost while sampling. 
KT37,S3,S3,1.87,6.98,3.27,4.01,21. 4,33.8 + 6.8,,,"Galaxy J6: 20201210_223210, 20201210_223250, 20201208_223304",Unidentified. White sap. Root broken while sampling.
VG1,S1(1),S1,0.56,4.32,2.68,0.69,24.8,7.5,,PsyNig,,Psychotria nigra. Nearly 1/3rd of the root was lost while sampling.
VG1,S1(2),S1,1.51,8.17,3.67,1.78,24.4,11.6,,,,
